,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
340,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,437298,0.28,95
341,Gravity,2013,7.7,96.0,750259,274.09,91
342,Deliverance,1972,7.7,80.0,95835,7.06,109
343,Zombieland,2009,7.6,73.0,506563,75.59,88
344,The Untouchables,1987,7.9,79.0,270326,76.27,119
345,Halloween,1978,7.8,87.0,220366,47.0,91
346,The Last of the Mohicans,1992,7.7,76.0,144249,75.51,112
347,Y Tu Mamá También,2001,7.6,88.0,112714,13.62,106
348,Edward Scissorhands,1990,7.9,74.0,434316,56.36,105
349,Downfall,2004,8.2,82.0,322160,5.51,156
350,Memories of Murder,2003,8.1,82.0,124668,0.01,132
351,The Crow,1994,7.6,71.0,162474,50.69,102
352,From Here to Eternity,1953,7.6,85.0,41920,30.5,118
353,Moonrise Kingdom,2012,7.8,84.0,308669,45.51,94
354,The Hurt Locker,2008,7.6,95.0,411369,17.02,131
355,Serenity,2005,7.8,74.0,278411,25.51,119
356,The Little Mermaid,1989,7.6,88.0,229531,111.54,83
357,500 Days of Summer,2009,7.7,76.0,461125,32.39,95
358,As Good as It Gets,1997,7.7,67.0,267940,148.48,139
359,The Bourne Identity,2002,7.9,68.0,495591,121.66,119
360,Kick-Ass,2010,7.6,66.0,515352,48.07,117
361,Blood Diamond,2006,8.0,64.0,485919,57.37,143
362,Empire of the Sun,1987,7.7,62.0,112054,22.24,153
363,Philomena,2013,7.6,77.0,92181,37.71,98
364,Fantastic Mr. Fox,2009,7.9,83.0,190611,21.0,87
365,Despicable Me,2010,7.6,72.0,487983,251.51,95
366,How to Train Your Dragon,2010,8.1,75.0,646260,217.58,98
367,Incendies,2010,8.3,80.0,139680,6.86,131
368,This Is Spinal Tap,1984,7.9,92.0,125655,0.19,82
369,Bridge of Spies,2015,7.6,81.0,278359,72.31,142
370,Raging Bull,1980,8.2,89.0,310619,23.38,129
371,The Butterfly Effect,2004,7.6,30.0,441427,57.94,113
372,Who Framed Roger Rabbit,1988,7.7,83.0,177064,156.45,104
373,The Secret in Their Eyes,2009,8.2,80.0,185752,6.39,129
374,Scent of a Woman,1992,8.0,59.0,249047,63.9,156
375,Some Like It Hot,1959,8.2,98.0,235824,25.0,121
376,Gifted,2017,7.6,60.0,94100,24.8,101
377,District 9,2009,7.9,81.0,627089,115.65,112
378,First Blood,1982,7.7,61.0,219330,47.21,93
379,The Great Escape,1963,8.2,86.0,217572,12.1,172
380,Straight Outta Compton,2015,7.9,72.0,174626,161.2,147
381,Chinatown,1974,8.2,92.0,283557,29.2,130
382,"O Brother, Where Art Thou?",2000,7.7,69.0,276634,45.51,107
383,The Elephant Man,1980,8.1,78.0,212264,,124
384,My Neighbor Totoro,1988,8.2,86.0,272534,1.11,86
385,Magnolia,1999,8.0,77.0,282503,22.46,188
386,The Game,1997,7.8,61.0,333516,48.32,129
387,The Color Purple,1985,7.8,78.0,75588,98.47,154
388,Breakfast at Tiffany's,1961,7.7,76.0,161487,,115
389,The Others,2001,7.6,74.0,328218,96.52,104
390,Donnie Brasco,1997,7.7,76.0,268564,41.91,127
391,American Gangster,2007,7.8,76.0,381430,130.16,157
392,My Cousin Vinny,1992,7.6,68.0,102562,52.93,120
393,Sleepers,1996,7.6,49.0,182676,49.1,147
394,The Theory of Everything,2014,7.7,72.0,386687,35.89,123
395,The Hunt for Red October,1990,7.6,58.0,173276,122.01,135
396,Spartacus,1960,7.9,87.0,120650,30.0,197
397,Rosemary's Baby,1968,8.0,96.0,185117,,137
398,In Bruges,2008,7.9,67.0,380847,7.76,107
399,Gran Torino,2008,8.1,72.0,702202,148.1,116
400,Isle of Dogs,2018,7.9,82.0,130047,32.02,101
401,Roma,2018,7.7,96.0,131971,,135
402,The Graduate,1967,8.0,83.0,248162,104.95,106
403,To Kill a Mockingbird,1962,8.2,88.0,286705,,129
404,Life of Pi,2012,7.9,79.0,566201,124.99,127
405,The Count of Monte Cristo,2002,7.8,61.0,125972,54.23,131
406,Match Point,2005,7.6,72.0,201427,23.09,124
407,Wreck-It Ralph,2012,7.7,72.0,368450,189.42,101
408,Grave of the Fireflies,1988,8.5,94.0,221211,,89
409,Blow,2001,7.6,52.0,234758,52.99,124
410,It's a Wonderful Life,1946,8.6,89.0,384702,,130
411,Das Boot,1981,8.3,86.0,223986,11.49,149
412,Beauty and the Beast,1991,8.0,95.0,408183,218.97,84
413,The Fighter,2010,7.8,79.0,331643,93.62,116
414,Barry Lyndon,1975,8.1,89.0,143369,,185
415,End of Watch,2012,7.6,68.0,222641,41.0,109
416,Stalker,1979,8.2,,109770,0.23,162
417,25th Hour,2002,7.6,68.0,166965,13.06,135
418,Togo,2019,8.0,69.0,28474,,113
419,Philadelphia,1993,7.7,66.0,217679,77.32,125
420,Rain Man,1988,8.0,65.0,461697,178.8,133
421,Gully Boy,2019,8.1,65.0,27926,5.57,153
422,Dog Day Afternoon,1975,8.0,86.0,228892,50.0,125
423,The Thin Red Line,1998,7.6,78.0,167986,36.4,170
424,Hunt for the Wilderpeople,2016,7.9,81.0,102570,5.2,101
425,Sense and Sensibility,1995,7.6,84.0,98483,43.18,136
426,Dangal,2016,8.4,,144092,12.39,161
427,The Birds,1963,7.7,90.0,165452,11.4,119
428,Only the Brave,2017,7.6,72.0,53828,18.34,134
429,Toy Story 2,1999,7.9,88.0,510456,245.85,92
430,Lost Highway,1997,7.6,52.0,126373,3.8,134
431,Ray,2004,7.7,73.0,135065,75.33,152
432,3:10 to Yuma,2007,7.7,76.0,281490,53.61,122
433,Frost/Nixon,2008,7.7,80.0,100471,18.59,122
434,Boyhood,2014,7.9,100.0,328715,25.38,165
435,Mr. Nobody,2009,7.8,63.0,209942,0.0,141
436,The King's Speech,2010,8.0,88.0,623969,138.8,118
437,Enter the Dragon,1973,7.7,83.0,93471,25.0,102
438,I Saw the Devil,2010,7.8,67.0,104323,0.13,144
439,Before Sunset,2004,8.0,90.0,225596,5.82,80
440,Searching,2018,7.6,71.0,126853,26.02,102
441,Moon,2009,7.9,67.0,327154,5.01,97
442,Walk the Line,2005,7.8,72.0,227672,119.52,136
443,Mississippi Burning,1988,7.8,65.0,84396,34.6,128
444,Singin' in the Rain,1952,8.3,99.0,210835,8.82,103
445,Coraline,2009,7.7,80.0,188841,75.29,100
446,Cinema Paradiso,1988,8.5,80.0,219483,11.99,155
447,The Apartment,1960,8.3,94.0,156729,18.6,125
448,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,198050,102.31,110
449,The Skin I Live In,2011,7.6,70.0,133415,3.19,120
450,Gattaca,1997,7.8,64.0,273702,12.34,106
451,The Bourne Ultimatum,2007,8.0,85.0,594965,227.47,115
452,The Raid: Redemption,2011,7.6,73.0,185711,4.11,101
453,La Haine,1995,8.1,,142286,0.31,98
